College_Name,College_Code,Established_Year,Latitude,Longitude,Place,District,Type
ANDHRA WOMEN'S SANSKRIT COLLEGE ,84,1931,,,RAJAHMUNDRY    ,E.G.Dt,Private
AVANTHI DEGREE COLLEGE,85,1995,17.024279,81.7837,RAJAHMUNDRY    ,E.G.Dt,Private
G. K. R. V. M. DEGREE COLLEGE ,86,1996,17.007567,81.792879,RAJAHMUNDRY    ,E.G.Dt,Private
GOVT. COLLEGE (AUTONOMOUS),87,1853,17.016552,81.785276,RAJAHMUNDRY    ,E.G.Dt,Private
RAJAMAHENDRI DEGREE COLLEGE FOR WOMEN,88,1993,17.011033,81.773203,RAJAHMUNDRY    ,E.G.Dt,Private
RAJIV GANDHI DEGREE COLLEGE,89,1991,17.027565,81.772327,RAJAHMUNDRY    ,E.G.Dt,Private
S. K. R. COLLEGE FOR WOMEN ,90,1968,17.010227,81.787368,RAJAHMUNDRY    ,E.G.Dt,Private
S. K. V. T. COLLEGE ,91,1972,17.010432,81.783291,RAJAHMUNDRY    ,E.G.Dt,Private
SAMHITHA DEGREE COLLEGE,92,1997,16.998512,81.780393,RAJAHMUNDRY    ,E.G.Dt,Private
SMT. JASTI BULLEMMAI DEGREE COLLEGE,93,1996,16.9895,81.815952,RAJAHMUNDRY    ,E.G.Dt,Private
ST. PAUL'S DEGREE COLLEGE,94,1997,17.022363,81.793264,RAJAHMUNDRY    ,E.G.Dt,Private
SRI SAI MADHAVI DEGREE COLLEGE,60,2002,16.994241,81.926683,RAJANAGARAM                ,E.G.Dt,Private
SMT. B.S.L. DEGREE COLLEGE,124,2005,17.079807,81.899455,RAJANAGARAM                ,E.G.Dt,Private
SUMATHI MEMORIAL DEGREE COLLEGE ,95,2008,,,RAJAVOMMANGI ,E.G.Dt,Private
VINUTHNA DEGREE COLLEGE,96,2008,,,RAJAVOMMANGI ,E.G.Dt,Private
Ln. G. V. RAO MODERN DEGREE COLLEGE,97,1994,16.834988,82.031366,RAMACHANDRAPURAM    ,E.G.Dt,Private
SREE VIDYA DEGREE COLLEGE,,,,,RAMACHANDRAPURAM    ,E.G.Dt,Private
VIDYANIDHI DEGREE COLLEGE,99,,16.574746,82.000414,AMALAPURAM  ,E.G.Dt,Private
V. S. M. COLLEGE ,100,1966,16.843674,82.018605,RAMACHANDRAPURAM    ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,130,2014,17.223816,81.669614,RAMACHANDRAPURAM    ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,101,1983,17.436217,81.779061,RAMPACHODAVARAM    ,E.G.Dt,Private
SMT. B. S. R. DEGREE COLLEGE ,102,1994,,,RAMPACHODAVARAM    ,E.G.Dt,Private
DR B R AMBEDKAR DEGREE COLLEGE,103,-,,,RAVULAPALEM    ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,104,1981,,,RAVULAPALEM    ,E.G.Dt,Private
SRI NADIMPALLI SURYANARAYANA RAJU DEGREE COLLEGE  ,105,2002,,,RAVULAPALEM    ,E.G.Dt,Private
VELAGALA SATHIREDDY RURAL DEGREE COLLEGE ,106,1994,,,RAYAVARAM    ,E.G.Dt,Private
Dr. V. S. K. GOVT. COLLEGE,107,1968,16.483908,81.853166,RAZOLE ,E.G.Dt,Private
SMT. VEERA SATYANARAYANAMMA DEGREE COLLEGE,,,,,RAZOLE ,E.G.Dt,Private
SRI CHAITANYA DEGREE COLLEGE,112,1997,,,RAZOLE ,E.G.Dt,Private
ADITYA DEGREE COLLEGE ,114,2002,,,RAZOLE ,E.G.Dt,Private
SRI PADMAVATHI MAHILA DEGREE COLLEGE,115,-,,,RAZOLE ,E.G.Dt,Private
SMT. ALLURU VARAHALAMMA MEMORIAL DEG. COLLEGE & SMT. ALLURU VARAHALAMMA MEMORIAL EDUCATIONAL SOCIETY,108,2002,,,SAKHINETIPALLI             ,E.G.Dt,Private
YRL COLLEGE OF ARTS SCIENCE AND TECH.,109,2007,17.060754,82.195525,SAMALKOTA               ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,110,1983,17.17255,81.694193,SEETHANAGARAM            ,E.G.Dt,Private
SITA RAMA DEGREE COLLEGE ,127,2014,,,SANKAVARAM          E.G. Dt,EE,Private
D.R.G. COLLEGE FOR WOMEN,381,1975,16.813672,81.520065,TADEPALLIGUDEM ,W.G.Dt,Private
D.R.G. GOVT. COLLEGE FOR BOYS,382,1966,16.781193,81.529108,TADEPALLIGUDEM ,W.G.Dt,Private
GMRMV DEGREE COLLEGE,383,1998,16.804125,81.530275,TADEPALLIGUDEM ,W.G.Dt,Private
MONTESSORI COLLEGE COLLEGE,398,2008,,,UNGUTUR           ,W.G.Dt,Private
SRI VASAVI DEGREE & PG COLLEGE,388,2002,16.812797,81.53188,TADEPALLIGUDEM ,W.G.Dt,Private
BRILLIANTS DEGREE COLLEGE,380,2005,,,TADEPALLIGUDEM         ,W.G.Dt,Private
NEW MODERN DEGREE COLLEGE ,385,2011,,,TADEPALLIGUDEM ,W.G.Dt,Private
SRI VANI DEGREE COLLEGE,386,2011,16.811729,81.532567,TADEPALLIGUDEM ,W.G.Dt,Private
U K DEGREE COLLEGE,,2011,,,TADEPALLIGUDEM ,W.G.Dt,Private
SRI RAVI DEGREE COLLEGE ,113,2008,,,TALAREVU                  ,E.G.Dt,Private
PRAKASH DEGREE COLLEGE,125,2013,,, TALAREVU                ,E.G.Dt,Private
SRIKARIBANDI SUBBARAO MEMORIAL DEGREE COLLEGE,389,,,,TALLAPUDI                              ,W.G.Dt,Private
SIDDHARTH DEGREE COLLEGE,376,2005,,,TANUKU,W.G.Dt,Private
